R�tulos de Linha;Contagem de target
q168_Assist̻ncia.Hospitalar...Cl�_nica.Vila.Verde..Hospital.Dia.;5
q169_Assist̻ncia.Hospitalar...Casa.de.Sa̼de.Esperan̤a;14
q17_UAPS.RURAL...Toledos;3
q170_CAPS...CAPS.AD;106
q171_CAPS...CAPS.Casa.Viva;33
q172_CAPS...CAPS.HU;19
q173_CAPS...CAPS.IJ;21
q174_CAPS...CAPS.Leste;22
q175_CRAS...CRAS.Leste.Linhares;20
q176_CRAS...CRAS.Leste.Ṣo.Benedito;17
q177_CRAS...CRAS.Sudeste.Costa.Carvalho;18
q178_CRAS...CRAS.Sudeste.Olavo.Costa;15
q179_CRAS...CRAS.Nordeste.Grama;15
q18_UAPS.RURAL...Torre̵es;6
q180_CRAS...CRAS.Centro;21
q181_CRAS...CRAS.Norte.Benfica;23
q182_CRAS...CRAS.Oeste.Ṣo.Pedro;17
q183_CRAS...CRAS.Sul.Ipiranga;26
q184_CREAS...CREAS.oso.e.Mulher;21
q185_CREAS...CREAS.Inf̢ncia.e.Juventude;24
q186_CREAS...CREAS.Popula̤̣o.de.Rua..CentroPop.;26
q187_CREAS...CREAS.Norte;20
q188_Acolhimento.Institucional...N̼cleo.Caḍo.de.Rua.Hebert.de.Souza;17
q189_Acolhimento.Institucional...Sociedade.Ṣo.Vicente.de.Paulo;5
q19_UAPS.RURAL...Valadares;5
q190_Acolhimento.Institucional...Casa.da.Cadania;20
q191_Urg̻ncia.Emerg̻ncia...Servi̤o.de.Atendimento.M�_vel.de.Urg̻ncia..SAMU.;39
q192_Ambulat�_rio.de.Sa̼de.Mental...Centro.de.Aten̤̣o.��.Sa̼de.Mental..CASM.;38
q193_Centro.de.Conviv̻ncia...Associa̤̣o.TRABALHARTE;14
q194_Consult�_rio.na.Rua...Equipe.de.Consult�_rio.na.Rua..UAPS.de.refer̻ncia.Vila.eal.;10
q195_Consult�_rio.na.Rua...Equipe.de.Consult�_rio.na.Rua..Associa̤̣o.Casa.Viva.;11
q2_UAPS.RURAL...Caet̩;5
q20_UAPS.URBANA...Centro.Sul;6
q21_UAPS.URBANA...Dom.Bosco;10
q22_UAPS.URBANA...Santa.Cec�_lia;5
q23_UAPS.URBANA...Bairro.Industrial;5
q24_UAPS.URBANA...Barreira.do.Triunfo;7
q25_UAPS.URBANA...Benfica;7
q26_UAPS.URBANA...Cade.do.Sol;3
q27_UAPS.URBANA...Esplanada;5
q28_UAPS.URBANA...Jardim.Natal;5
q29_UAPS.URBANA...J�_quei.Clube.I;6
q3_UAPS.RURAL...Chap̩u.D.Uvas;4
q30_UAPS.URBANA...J�_quei.Clube.II;6
q31_UAPS.URBANA...Milho.Branco;6
q32_UAPS.URBANA...Monte.Castelo;6
q33_UAPS.URBANA...Nova.Era;6
q34_UAPS.URBANA...Santa.Cruz;7
q35_UAPS.URBANA...Ṣo.Judas.Tadeu;9
q36_UAPS.URBANA...Vila.Esperan̤a;8
q37_UAPS.URBANA...Alto.Graja̼;10
q38_UAPS.URBANA...Filgueiras;6
q39_UAPS.URBANA...Linhares;6
q4_UAPS.RURAL...Dias.Tavares;3
q40_UAPS.URBANA...Marumb�_;6
q41_UAPS.URBANA...Nossa.Senhora.Apareca;7
q42_UAPS.URBANA...Progresso;8
q43_UAPS.URBANA...Santa.C̢nda.Ṣo.Sebastịo;6
q44_UAPS.URBANA...Santa.Rita;6
q45_UAPS.URBANA...Ṣo.Benedito;6
q46_UAPS.URBANA...Bairro.de.Lourdes;7
q47_UAPS.URBANA...Furtado.de.Menezes;7
q48_UAPS.URBANA...Jardim.da.Lua;6
q49_UAPS.URBANA...Jardim.Esperan̤a;9
q5_UAPS.RURAL...Humait��;5
q50_UAPS.URBANA...Retiro;5
q51_UAPS.URBANA...Santo.Ant̫nio;7
q52_UAPS.URBANA...Vila.eal;9
q53_UAPS.URBANA...Vila.Olavo.Costa;3
q54_UAPS.URBANA...Cruzeiro.do.Sul;6
q55_UAPS.URBANA...Ipiranga;9
q56_UAPS.URBANA...Santa.Efig̻nia;7
q57_UAPS.URBANA...Santa.Luzia;14
q58_UAPS.URBANA...Teixeiras;6
q59_UAPS.URBANA...Vale.Verde;5
q6_UAPS.RURAL...Igrejinha;9
q60_UAPS.URBANA...Bandeirantes;6
q61_UAPS.URBANA...Grama;6
q62_UAPS.URBANA...Granjas.Bet̢nea;7
q63_UAPS.URBANA...Nossa.Senhora.das.Gra̤as;5
q64_UAPS.URBANA...Parque.Guarani;6
q65_UAPS.URBANA...Borboleta;9
q66_UAPS.URBANA...Santos.Dumont;8
q67_UAPS.URBANA...Ṣo.Pedro;7
q68_Ajuda.M̼tua...ALANOM.Grupo.Harmonia;2
q69_Ajuda.M̼tua...ALANOM.Grupo.Liberta̤̣o;2
