"","name"
"152","q152_Entades.Socioassistenciais...ONG.Saída"
"153","q153_Entades.Socioassistenciais...Instituto.Veredas..Projeto..Assessoria.e.Prática.em.Saúde.Mental.....Serviço.de.Referência.para.Adolescentes.do.Instituto.Veredas"
"154","q154_Entades.Socioassistenciais...Associação.Metodista.de.Ação.Social.do.Bairro.São.Mateus..AMAS."
"155","q155_Entades.Socioassistenciais...Casa.de.Acolhimento.à.Infância.e.Adolescente..CAIA."
"156","q156_Entades.Socioassistenciais...Fundação.Maria.Mãe"
"157","q157_Entades.Socioassistenciais...Associação.Beneficente.e.Cultural.Amigos.do.Noivo..ABAN."
"158","q158_Entades.Socioassistenciais...Associação.Casa.Viva"
"159","q159_Entades.Socioassistenciais...Casa.São.Camilo.de.Lelis"
"160","q160_Entades.Socioassistenciais…ABAN  Dom Bosco"
"161","q161_Entades.Socioassistenciais…GEDAE"
"162","q162_Assistência.Hospitalar...Centro.de.Referência.em.Álcool.e.Drogas..RADCAS..Hospital.Universitário"
"163","q163_Assistência.Hospitalar...Hospital.de.Pronto.Socorro...HPS"
"164","q164_Assistência.Hospitalar...Serviço.de.Controle.e.Prevenção.e.Tratamento.do.Tabagismo..SECOPTT."
"165","q165_Assistência.Hospitalar...Hospital.Ana.Nery"
"166","q166_Assistência.Hospitalar...Hospital.Regional.João.Peno"
"167","q167_Assistência.Hospitalar...Hospital.de.Toxicômanos"
"168","q168_Assistência.Hospitalar...Clínica.Vila.Verde..Hospital.Dia."
"169","q169_Assistência.Hospitalar...Casa.de.Saúde.Esperança"
"170","q170_CAPS...CAPS.AD"
"171","q171_CAPS...CAPS.Casa.Viva"
"172","q172_CAPS...CAPS.HU"
"173","q173_CAPS...CAPS.IJ"
"174","q174_CAPS...CAPS.Leste"
"175","q175_CRAS...CRAS.Leste.Linhares"
"176","q176_CRAS...CRAS.Leste.São.Benedito"
"177","q177_CRAS...CRAS.Sudeste.Costa.Carvalho"
"178","q178_CRAS...CRAS.Sudeste.Olavo.Costa"
"179","q179_CRAS...CRAS.Nordeste.Grama"
"180","q180_CRAS...CRAS.Centro"
"181","q181_CRAS...CRAS.Norte.Benfica"
"182","q182_CRAS...CRAS.Oeste.São.Pedro"
"183","q183_CRAS...CRAS.Sul.Ipiranga"
"184","q184_CREAS...CREAS.oso.e.Mulher"
"185","q185_CREAS...CREAS.Infância.e.Juventude"
"186","q186_CREAS...CREAS.População.de.Rua..CentroPop."
"187","q187_CREAS...CREAS.Norte"
"188","q188_Acolhimento.Institucional...Núcleo.Cadão.de.Rua.Hebert.de.Souza"
"189","q189_Acolhimento.Institucional...Sociedade.São.Vicente.de.Paulo"
"190","q190_Acolhimento.Institucional...Casa.da.Cadania"
"191","q191_Urgência.Emergência...Serviço.de.Atendimento.Móvel.de.Urgência..SAMU."
"192","q192_Ambulatório.de.Saúde.Mental...Centro.de.Atenção.à.Saúde.Mental..CASM."
"193","q193_Centro.de.Convivência...Associação.TRABALHARTE"
"194","q194_Consultório.na.Rua...Equipe.de.Consultório.na.Rua..UAPS.de.referência.Vila.eal."
"195","q195_Consultório.na.Rua...Equipe.de.Consultório.na.Rua..Associação.Casa.Viva."
"196","q112_Ajuda.Mútua.Escritório.de.Serviços.Locais"
"197","q113_Ajuda.Mútua.GABENAE...Grupo.de.apoio.Benfica.de.amor.exigente"
"198","q114_Ajuda.Mútua.GASMAE...Grupo.de.apoio.São.Mateus.de.amor.exigente"
"199","q115_Ajuda.Mútua.Grupo.de.amor.exigente...Linhares"
"200","q116_Ajuda.Mútua.Grupo.de.amor.exigente...Santa.Terezinha"
"201","q138_Entades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos.Território.Aliança.Zona.Norte"
"202","q160_Entades.Socioassistenciais.ABAN..Dom.Bosco"
"203","q161_Entades.Socioassistenciais.GEDAE"
