"","full_no_zero_indegree","full_no_zero_outdegree","full_no_zero_totaldegree","full_no_zero_incloseness","full_no_zero_outcloseness","full_no_zero_totalcloseness","full_no_zero_betweenness","full_no_zero_eigenvector","full_no_zero_reach_in_vec","full_no_zero_reach_out_vec","full_no_zero_sp_in_vec","full_no_zero_sp_out_vec"
"42",8,6,14,0.000149678191887442,0.00155038759689923,0.00263852242744063,136.3,0.162,0.818181818181818,NA,NA,NA
"186",26,16,42,0.000150217815832958,0.00169204737732657,0.00271739130434783,248,0.383,0.818181818181818,NA,NA,NA
"113",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"114",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"115",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"116",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"47",7,5,12,0.000149678191887442,0.00154798761609907,0.00245098039215686,404.5,0.15,0.818181818181818,NA,NA,NA
"76",8,1,9,0.000147994672191801,0.00134770889487871,0.00246305418719212,287.2,0.065,0.818181818181818,NA,NA,NA
"104",11,7,18,0.000147666863555818,0.00158730158730159,0.00267379679144385,1415.3,0.037,0.818181818181818,NA,NA,NA
"30",6,5,11,0.00014972301242701,0.00160771704180064,0.00245098039215686,12.6,0.157,0.818181818181818,NA,NA,NA
"127",11,4,15,0.000148148148148148,0.00157232704402516,0.00256410256410256,78.4,0.066,0.818181818181818,NA,NA,NA
"130",2,2,4,0.000143884892086331,0.00147710487444609,0.00225733634311512,184,0.001,0.818181818181818,NA,NA,NA
"46",7,16,23,0.00014972301242701,0.0016366612111293,0.00256410256410256,237,0.151,0.818181818181818,NA,NA,NA
"53",3,5,8,0.000149521531100478,0.00153846153846154,0.00241545893719807,4.7,0.108,0.818181818181818,NA,NA,NA
"54",6,6,12,0.000149588631264024,0.00156739811912226,0.00242718446601942,10.9,0.137,0.818181818181818,NA,NA,NA
"91",1,9,10,0.000144175317185698,0.0016260162601626,0.00247524752475248,2.7,0.003,0.818181818181818,NA,NA,NA
"135",3,6,9,0.000146177459435755,0.0015552099533437,0.00236406619385343,186.3,0.006,0.818181818181818,NA,NA,NA
"168",5,3,8,0.000149298297999403,0.00134048257372654,0.00236406619385343,314,0.084,0.818181818181818,NA,NA,NA
"55",9,10,19,0.000149700598802395,0.0016,0.00248138957816377,102.4,0.194,0.818181818181818,NA,NA,NA
"119",8,3,11,0.000147492625368732,0.00155038759689923,0.00264550264550265,4.5,0.047,0.818181818181818,NA,NA,NA
"120",2,1,3,0.000143884892086331,0.00116144018583043,0.00183823529411765,0,0.001,0.818181818181818,NA,NA,NA
"121",4,2,6,0.000146735143066764,0.00120048019207683,0.00198412698412698,0.8,0.016,0.818181818181818,NA,NA,NA
"24",7,2,9,0.000149767859817283,0.00153609831029186,0.00245700245700246,81.3,0.158,0.818181818181818,NA,NA,NA
"169",14,21,35,0.000149925037481259,0.00165289256198347,0.0026525198938992,396.8,0.248,0.818181818181818,NA,NA,NA
"157",2,2,4,0.00014494854326714,0.00126103404791929,0.00189393939393939,17.8,0.003,0.818181818181818,NA,NA,NA
"155",9,19,28,0.00014808233377758,0.00171232876712329,0.00259067357512953,52.5,0.126,0.818181818181818,NA,NA,NA
"140",3,1,4,0.000147514382652309,0.00119904076738609,0.00206185567010309,7,0.044,0.818181818181818,NA,NA,NA
"141",3,1,4,0.000147514382652309,0.00119904076738609,0.00206185567010309,7,0.044,0.818181818181818,NA,NA,NA
"38",6,3,9,0.000149611011370437,0.0015625,0.00245098039215686,9.1,0.158,0.818181818181818,NA,NA,NA
"48",6,8,14,0.000149611011370437,0.00163132137030995,0.0025,14.5,0.159,0.818181818181818,NA,NA,NA
"62",7,4,11,0.000149633398174473,0.0015600624024961,0.00246913580246914,10.9,0.167,0.818181818181818,NA,NA,NA
"142",3,1,4,0.000147536146355857,0.00124223602484472,0.00210526315789474,7.2,0.044,0.818181818181818,NA,NA,NA
"143",4,1,5,0.000147754137115839,0.00124223602484472,0.00214592274678112,8.8,0.059,0.818181818181818,NA,NA,NA
"65",9,5,14,0.000149678191887442,0.00159744408945687,0.00264550264550265,16.5,0.163,0.818181818181818,NA,NA,NA
"66",8,5,13,0.000149633398174473,0.0016,0.00244498777506112,11.4,0.162,0.818181818181818,NA,NA,NA
"6",9,6,15,0.000149790293588975,0.00155763239875389,0.00247524752475248,13.9,0.173,0.818181818181818,NA,NA,NA
"21",10,4,14,0.000149700598802395,0.00154320987654321,0.00246913580246914,15.1,0.185,0.818181818181818,NA,NA,NA
"25",7,2,9,0.00014972301242701,0.00153609831029186,0.00246305418719212,0.3,0.145,0.818181818181818,NA,NA,NA
"29",6,4,10,0.00014972301242701,0.00154320987654321,0.00245700245700246,2.2,0.157,0.818181818181818,NA,NA,NA
"41",7,4,11,0.000149633398174473,0.00156985871271586,0.00246913580246914,4.8,0.167,0.818181818181818,NA,NA,NA
"43",6,8,14,0.000149611011370437,0.00158478605388273,0.00246305418719212,4.5,0.148,0.818181818181818,NA,NA,NA
"45",6,8,14,0.000149611011370437,0.00158730158730159,0.00246913580246914,4.5,0.148,0.818181818181818,NA,NA,NA
"56",7,5,12,0.000149655791679138,0.0015600624024961,0.0024390243902439,55.8,0.152,0.818181818181818,NA,NA,NA
"57",14,5,19,0.000149812734082397,0.0015600624024961,0.00248138957816377,61.1,0.198,0.818181818181818,NA,NA,NA
"60",6,5,11,0.000149611011370437,0.00158730158730159,0.00246913580246914,3.5,0.154,0.818181818181818,NA,NA,NA
"153",11,15,26,0.000149476831091181,0.00167224080267559,0.00259067357512953,42.9,0.207,0.818181818181818,NA,NA,NA
"8",6,2,8,0.000149700598802395,0.00152439024390244,0.00244498777506112,2.5,0.158,0.818181818181818,NA,NA,NA
"12",4,2,6,0.000149655791679138,0.00152439024390244,0.0024330900243309,1.8,0.123,0.818181818181818,NA,NA,NA
"18",6,2,8,0.000149700598802395,0.00152439024390244,0.00244498777506112,2.5,0.158,0.818181818181818,NA,NA,NA
"2",5,3,8,0.000149700598802395,0.00156985871271586,0.00246913580246914,1,0.147,0.818181818181818,NA,NA,NA
"3",4,1,5,0.000149655791679138,0.00151975683890578,0.0024330900243309,0,0.128,0.818181818181818,NA,NA,NA
"5",5,3,8,0.000149678191887442,0.00153609831029186,0.00245098039215686,1.9,0.137,0.818181818181818,NA,NA,NA
"15",6,1,7,0.000149700598802395,0.00151975683890578,0.00247524752475248,0,0.133,0.818181818181818,NA,NA,NA
"16",4,3,7,0.000148610491900728,0.00156985871271586,0.00246913580246914,1,0.092,0.818181818181818,NA,NA,NA
"17",3,2,5,0.000149633398174473,0.00156739811912226,0.00242718446601942,0.3,0.113,0.818181818181818,NA,NA,NA
