"","temp_indegree","temp_outdegree","temp_totaldegree","temp_incloseness","temp_outcloseness","temp_totalcloseness","temp_betweenness","temp_eigenvector","temp_reach_in_vec","temp_reach_out_vec"
"19",5,2,7,9.80969197567196e-05,0.000346380325597506,0.00163398692810457,0.7,0.149,0.716577540106952,NA
"20",4,2,6,9.80872976949485e-05,0.000346500346500347,0.00164473684210526,136.6,0.13,0.716577540106952,NA
"21",6,1,7,9.8135426889107e-05,0.000346260387811634,0.00164473684210526,24,0.146,0.716577540106952,NA
"22",6,2,8,9.8116169544741e-05,0.000347705146036161,0.00164473684210526,8.8,0.132,0.716577540106952,NA
"23",3,2,5,9.80584428319278e-05,0.000346500346500347,0.00163132137030995,132,0.121,0.716577540106952,NA
"24",4,3,7,9.80872976949485e-05,0.00034794711203897,0.0016366612111293,12.2,0.134,0.716577540106952,NA
"25",3,1,4,9.80680592331078e-05,0.000346260387811634,0.00162337662337662,4.6,0.123,0.716577540106952,NA
"26",5,4,9,9.8116169544741e-05,0.000348553502962705,0.00164473684210526,27.7,0.145,0.716577540106952,NA
"27",5,5,10,9.8116169544741e-05,0.000350754121360926,0.00164744645799012,140.9,0.145,0.716577540106952,NA
"28",5,6,11,9.80969197567196e-05,0.000347222222222222,0.00164203612479475,148.7,0.151,0.716577540106952,NA
"29",5,1,6,9.80969197567196e-05,0.000346260387811634,0.00162866449511401,4.6,0.145,0.716577540106952,NA
"30",5,6,11,9.80969197567196e-05,0.000349040139616056,0.00172117039586919,152.1,0.124,0.716577540106952,NA
"31",6,4,10,9.8116169544741e-05,0.000348553502962705,0.00172117039586919,24.9,0.14,0.716577540106952,NA
"32",7,5,12,9.8135426889107e-05,0.000347705146036161,0.00166666666666667,150.3,0.158,0.716577540106952,NA
"33",6,4,10,9.81257972721028e-05,0.000348068221371389,0.00165016501650165,22.8,0.161,0.716577540106952,NA
"34",8,12,20,9.8135426889107e-05,0.000354358610914245,0.00168918918918919,350.1,0.214,0.716577540106952,NA
"35",6,3,9,9.8116169544741e-05,0.000349040139616056,0.00165016501650165,202.1,0.177,0.716577540106952,NA
"36",6,2,8,9.8116169544741e-05,0.000346860908775581,0.00164203612479475,1.8,0.188,0.716577540106952,NA
"37",5,6,11,9.81065437064652e-05,0.00034965034965035,0.00165562913907285,314.2,0.163,0.716577540106952,NA
"38",7,4,11,9.81257972721028e-05,0.000348432055749129,0.00166389351081531,3.3,0.189,0.716577540106952,NA
"39",7,6,13,9.81257972721028e-05,0.000349040139616056,0.00173010380622837,144.1,0.181,0.716577540106952,NA
"40",6,8,14,9.8116169544741e-05,0.000352112676056338,0.00165562913907285,38.9,0.17,0.716577540106952,NA
"41",5,1,6,9.81065437064652e-05,0.000346260387811634,0.00163934426229508,0.5,0.163,0.716577540106952,NA
"42",6,7,13,9.8116169544741e-05,0.000351741118536757,0.00165562913907285,39.6,0.17,0.716577540106952,NA
"43",5,8,13,9.81065437064652e-05,0.000350262697022767,0.001669449081803,27.2,0.15,0.716577540106952,NA
