"","atividade_indegree","atividade_outdegree","atividade_totaldegree","atividade_incloseness","atividade_outcloseness","atividade_totalcloseness","atividade_betweenness","atividade_eigenvector","atividade_reach_in_vec","atividade_reach_out_vec"
"64",6,14,20,0.000134661998384056,0.00122399020807834,0.00171232876712329,242.6,0.161,0.796791443850267,NA
"190",18,11,29,0.000134989200863931,0.00122850122850123,0.00175746924428822,66.5,0.272,0.796791443850267,NA
"107",4,1,5,0.000132362673726009,0.000973709834469328,0.00143884892086331,15.5,0.011,0.796791443850267,NA
"178",12,2,14,0.000134898151895319,0.0009765625,0.00170940170940171,8.4,0.218,0.796791443850267,NA
"132",5,6,11,0.000132485426603074,0.00119331742243437,0.00165016501650165,109,0.015,0.796791443850267,NA
"124",7,14,21,0.000133297787256732,0.00125628140703518,0.00174825174825175,156.4,0.085,0.796791443850267,NA
"139",3,4,7,0.000132520540683806,0.00113507377979569,0.00148148148148148,10.9,0.036,0.796791443850267,NA
"144",2,5,7,0.000132275132275132,0.00120772946859903,0.00164744645799012,5.1,0.02,0.796791443850267,NA
"158",19,31,50,0.000134770889487871,0.00129533678756477,0.00180505415162455,763.2,0.191,0.796791443850267,NA
"188",16,28,44,0.000134843581445523,0.00131061598951507,0.00179856115107914,400.1,0.235,0.796791443850267,NA
"194",10,5,15,0.000134698275862069,0.00120627261761158,0.00169204737732657,20.8,0.176,0.796791443850267,NA
"195",10,5,15,0.00013457139012246,0.00120627261761158,0.00170940170940171,8.9,0.14,0.796791443850267,NA
"122",10,1,11,0.00013349352556401,0.00117233294255569,0.00169491525423729,1.6,0.068,0.796791443850267,NA
"159",2,9,11,0.000132661183337755,0.00119760479041916,0.00164203612479475,5.8,0.035,0.796791443850267,NA
"183",23,13,36,0.000135080372821829,0.00120772946859903,0.00175131348511384,131.6,0.273,0.796791443850267,NA
"110",3,3,6,0.000130531262237306,0.00099304865938431,0.00147275405007364,60.1,0.002,0.796791443850267,NA
"146",2,8,10,0.00013250298131708,0.00121359223300971,0.00165837479270315,1.3,0.023,0.796791443850267,NA
"147",2,8,10,0.00013250298131708,0.00121359223300971,0.00165837479270315,1.3,0.023,0.796791443850267,NA
"148",2,8,10,0.00013250298131708,0.00121359223300971,0.00165837479270315,1.3,0.023,0.796791443850267,NA
"149",2,8,10,0.00013250298131708,0.00121359223300971,0.00165837479270315,1.3,0.023,0.796791443850267,NA
"150",2,8,10,0.00013250298131708,0.00121359223300971,0.00165837479270315,1.3,0.023,0.796791443850267,NA
"128",1,3,4,0.000130361100247686,0.00116686114352392,0.00159489633173844,14,0.002,0.796791443850267,NA
"67",7,9,16,0.000133850890108419,0.00122549019607843,0.00170648464163823,237.6,0.121,0.796791443850267,NA
"102",3,36,39,0.000132432790358893,0.00115473441108545,0.0016366612111293,814.2,0.015,0.796791443850267,NA
"182",14,10,24,0.000134916351861846,0.00126262626262626,0.00181159420289855,945.5,0.242,0.796791443850267,NA
"37",10,12,22,0.000134789055128724,0.00124843945068664,0.00171526586620926,360.9,0.197,0.796791443850267,NA
"81",3,4,7,0.000132152768600502,0.00118764845605701,0.00171526586620926,92.9,0.009,0.796791443850267,NA
"165",21,18,39,0.000135281385281385,0.00130548302872063,0.00189035916824197,1777.5,0.251,0.796791443850267,NA
"73",3,26,29,0.000132766861391397,0.00100401606425703,0.00160771704180064,743.8,0.016,0.796791443850267,NA
"123",2,2,4,0.000130344108446298,0.000889679715302491,0.001194743130227,0,0.002,0.796791443850267,NA
"51",7,7,14,0.000134680134680135,0.00120772946859903,0.00169779286926995,163.5,0.143,0.796791443850267,NA
"61",6,4,10,0.000134661998384056,0.00118063754427391,0.00167785234899329,5,0.161,0.796791443850267,NA
"129",6,8,14,0.000132890365448505,0.0011001100110011,0.00151285930408472,439.1,0.025,0.796791443850267,NA
"125",0,1,1,2.87505031338048e-05,2.89050757312984e-05,0.00118764845605701,0,0,0.0053475935828877,NA
"80",1,2,3,0.000133102622121656,2.90613193839e-05,0.00129366106080207,0,0.001,0.802139037433155,NA
"156",7,10,17,0.000134480903711673,0.00124069478908189,0.00171232876712329,739.6,0.105,0.796791443850267,NA
"161",4,7,11,0.000132432790358893,0.00122549019607843,0.00166112956810631,83.1,0.027,0.796791443850267,NA
