"","var5_indegree","var5_outdegree","var5_totaldegree","var5_incloseness","var5_outcloseness","var5_totalcloseness","var5_betweenness","var5_eigenvector","var5_reach_in_vec","var5_reach_out_vec"
"102",1,35,36,2.89050757312984e-05,3.65670823125023e-05,0.000102165917449939,12,0,0.0106951871657754,NA
"182",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"37",4,0,4,2.9539479514371e-05,2.87505031338048e-05,0.000102648326832273,0,0,0.0320855614973262,NA
"81",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.000100775975007558,0,0,0.0160427807486631,NA
"165",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101667344448963,0,0,0.0160427807486631,NA
"73",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"123",1,2,3,2.89050757312984e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0106951871657754,NA
"51",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101153145862836,0,0,0.0160427807486631,NA
"61",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"129",1,4,5,2.89050757312984e-05,3.07097011946074e-05,0.000100542931831892,11,0,0.0106951871657754,NA
"125",0,1,1,2.87505031338048e-05,2.89050757312984e-05,9.94431185361973e-05,0,0,0.0053475935828877,NA
"80",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.000100775975007558,0,0,0.0160427807486631,NA
"156",2,0,2,2.95368620037807e-05,2.87505031338048e-05,0.000101102011930037,0,0,0.0320855614973262,NA
"161",0,2,2,2.87505031338048e-05,2.97000297000297e-05,0.000100918357049147,0,0,0.0053475935828877,NA
"26",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"23",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"31",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"33",2,0,2,2.95351172544155e-05,2.87505031338048e-05,0.000101688021151108,0,0,0.0320855614973262,NA
"34",2,0,2,2.95351172544155e-05,2.87505031338048e-05,0.000101688021151108,0,0,0.0320855614973262,NA
"35",2,0,2,2.95351172544155e-05,2.87505031338048e-05,0.000101688021151108,0,0,0.0320855614973262,NA
