"";"from";"to";"var0";"var1";"var2";"var3";"var4";"var5";"var6";"var7";"var8";"var9";"var10";"var11";"var12";"var13";"var14";"var15";"var16";"var17";"var18";"var19";"var20";"var21";"var22";"var23";"var24";"atividade";"acesso";"confianca";"total"
"30314";20;171;1;1;0;0;0;0;0;2;1;1;1;2;3;2;1;1;3;3;2;2;3;3;2;3;3;1;17;21;39
"30316";22;171;1;1;0;1;0;0;0;3;3;3;3;3;3;2;1;1;3;3;3;3;3;3;1;3;3;2;25;22;49
"30329";35;171;1;1;1;0;0;0;0;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;1;3;3;2;27;22;51
"30340";46;171;1;1;1;0;0;0;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;3;24;24;51
"30342";48;171;1;1;1;0;0;0;0;2;3;2;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;22;24;48
"30348";54;171;1;1;1;1;0;0;1;3;3;3;3;3;3;3;1;1;3;3;3;3;3;3;1;3;3;4;26;22;52
"30349";55;171;1;1;1;1;0;0;0;3;3;3;2;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;26;24;53
"30350";56;171;1;1;1;1;0;0;1;3;2;2;2;1;1;3;3;3;3;3;3;3;3;3;1;3;3;4;23;22;49
"30351";57;171;1;1;1;1;0;0;0;3;3;3;3;1;1;1;3;3;3;3;2;1;2;3;1;3;3;3;24;18;45
"30415";124;171;0;1;0;0;0;0;0;3;3;3;3;3;1;2;3;3;2;2;2;2;2;2;3;2;3;1;26;18;45
"30422";134;171;0;0;1;1;0;0;0;3;3;3;3;3;3;2;1;2;2;2;3;2;2;3;3;3;3;2;25;21;48
"30423";135;171;0;0;0;0;0;0;0;3;3;1;1;3;3;2;3;1;2;2;2;2;2;3;2;3;3;0;22;19;41
"30432";144;171;1;1;1;1;0;0;1;3;3;3;3;3;3;1;1;1;3;3;3;1;3;3;3;3;3;4;24;22;50
"30433";145;171;1;1;1;1;1;0;1;3;3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;5;26;24;55
"30434";146;171;1;1;1;1;1;0;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;5;24;24;53
"30435";147;171;1;1;1;1;1;0;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;5;24;24;53
"30436";148;171;1;1;1;1;1;0;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;5;24;24;53
"30437";149;171;1;1;1;1;1;0;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;5;24;24;53
"30438";150;171;1;1;1;1;1;0;1;3;3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;5;26;24;55
"30442";155;171;1;1;1;0;0;0;0;3;3;2;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;2;24;24;50
"30445";158;171;1;1;1;1;1;0;1;3;3;2;3;3;3;1;2;1;3;3;3;3;3;3;3;3;3;5;24;24;53
"30447";160;171;0;1;0;0;0;0;0;3;3;2;1;1;2;1;1;2;3;3;3;3;3;3;1;3;3;1;19;22;42
